2026-05-01 00:43:07 | DEBUG    | reduction | Scaler fitted on 640 samples, 166 features
2026-05-01 00:43:20 | INFO     | cross_validation |   Fold 5/5: train=1920 (orig=640, aug=1280), val=159, acc=72.33%  [9.8s]
2026-05-01 00:43:20 | INFO     | cross_validation |   CV result: 75.59% ± 2.18%
2026-05-01 00:43:20 | INFO     | cross_validation |   Combo 14/16: {'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}
2026-05-01 00:43:20 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:43:28 | INFO     | cross_validation |   Fold 1/5: train=1917 (orig=639, aug=1278), val=160, acc=75.62%  [8.5s]
2026-05-01 00:43:28 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:43:35 | INFO     | cross_validation |   Fold 2/5: train=1917 (orig=639, aug=1278), val=160, acc=76.25%  [6.1s]
2026-05-01 00:43:35 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:43:45 | INFO     | cross_validation |   Fold 3/5: train=1917 (orig=639, aug=1278), val=160, acc=75.62%  [10.3s]
2026-05-01 00:43:45 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:43:58 | INFO     | cross_validation |   Fold 4/5: train=1917 (orig=639, aug=1278), val=160, acc=70.00%  [10.3s]
2026-05-01 00:43:58 | DEBUG    | reduction | Scaler fitted on 640 samples, 166 features
2026-05-01 00:44:12 | INFO     | cross_validation |   Fold 5/5: train=1920 (orig=640, aug=1280), val=159, acc=71.07%  [13.7s]
2026-05-01 00:44:12 | INFO     | cross_validation |   CV result: 73.71% ± 2.63%
2026-05-01 00:44:12 | INFO     | cross_validation |   Combo 15/16: {'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8}
2026-05-01 00:44:12 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:44:25 | INFO     | cross_validation |   Fold 1/5: train=1917 (orig=639, aug=1278), val=160, acc=80.62%  [12.8s]
2026-05-01 00:44:25 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:44:38 | INFO     | cross_validation |   Fold 2/5: train=1917 (orig=639, aug=1278), val=160, acc=78.75%  [10.5s]
2026-05-01 00:44:38 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:44:49 | INFO     | cross_validation |   Fold 3/5: train=1917 (orig=639, aug=1278), val=160, acc=77.50%  [10.7s]
2026-05-01 00:44:49 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:44:59 | INFO     | cross_validation |   Fold 4/5: train=1917 (orig=639, aug=1278), val=160, acc=71.88%  [10.1s]
